,school,sat_total_25th_75th_percentile,act_total_25th_75th_percentile
0,Stanford University,1440-1570,32-35
1,Harvard College,1460-1580,33-35
2,Princeton University,1440-1570,32-35
3,Columbia University,1450-1560,33-35
4,Yale University,1460-1570,33-35
5,California Institute of Technology,​​ 1530-1560,35-36
6,Massachusetts Institute of Technology,​​ 1500-1570,34-36
7,Brown University,​​ 1440-1570,33-35
8,University of Chicago,​​ 1490-1570,33-35
9,Pomona College,1390-1540,32-35
10,University of Pennsylvania,1450-1560,33-35
11,Dartmouth College,1440-1560,32-35
12,Bowdoin College,1330-1520,31-34
13,Duke University,1450-1570,33-35
14,Swarthmore College,1380-1540,31-35
15,Northwestern University,1440-1550,33-35
16,Vanderbilt University,1460-1560,33-35
17,Claremont McKenna College,1360-1510,31-34
18,Johns Hopkins University,1470-1560,33-35
19,Cornell University,1400-1560,32-35
20,Rice University,1450-1560,33-35
21,Amherst College,1410-1550,31-34
22,Barnard College,1340-1520,31-34
23,Bates College,1270-1480,29-33
24,University of California—​Los Angeles,1290-1510,27-34
25,Tulane University,1360-1520,31-33
26,University of Southern California,1350-1530,30-34
27,Williams College,1410-1550,32-35
28,Colby College,1350-1510,31-33
29,Pitzer College,1340-1490,30-33
30,Colorado College,1300-1480,29-33
31,Harvey Mudd College,1490-1570,33-35
32,Georgetown University,1370-1530,31-34
33,University of California—​Berkeley,1300-1530,28-34
34,Tufts University,1390-1540,32-34
35,Washington University in St. Louis,1470-1570,32-35
36,Middlebury College,1360-1530,32-34
37,Carnegie Mellon University,1460-1560,33-35
38,University of Notre Dame,1400-1550,32-35
39,The Cooper Union,1283-1510,31-34
40,New York University,1370-1510,30-34
41,Haverford College,1380-1540,32-34
42,Wesleyan University,1320-1510,31-34
43,Hamilton College,1370-1520,32-34
44,Northeastern University,1390-1540,32-35
45,Davidson College,1310-1485,30-33
46,Emory University,1350-1520,31-34
47,Carleton College,1360-1540,31-34
48,Georgia Institute of Technology,1300-1510,29-34
49,Washington and Lee University,1348-1490,31-34
50,Wellesley College,1360-1530,31-34
51,Boston University,1330-1500,30-33
52,Colgate University,1330-1500,31-34
53,University of North Carolina—​Chapel Hill,1300-1490,27-33
54,University of Michigan—​Ann Arbor,1340-1530,31-34
55,Vassar College,1370-1530,31-34
56,Rhode Island School of Design,1180-1440,26-32
57,University of Virginia,1340-1500,30-34
58,Grinnell College,1370-1530,30-34
59,Babson College,1270-1450,28-32
60,University of California—​Irvine,1180-1440,--
61,University of Miami,1280-1420,29-32
62,Boston College,1370-1490,31-34
63,Villanova University,1320-1470,31-34
64,University of Richmond,1290-1460,30-33
65,California State Polytechnic University—​San Luis Obispo,1250-1420,26-32
66,Trinity University,1290-1450,29-32
67,Case Western Reserve University,1350-1520,30-34
68,University of Rochester,1300-1500,29-33
69,University of California—​Santa Barbara,1260-1460,25-33
70,Wake Forest University,1320-1490,30-33
71,Skidmore College,1220-1400,28-32
72,University of California—​San Diego,1250-1470,26-33
73,Franklin and Marshall College,1250-1460,28-32
74,Brandeis University,1280-1500,29-33
75,Lafayette College,1250-1440,28-33
76,American University,1220-1380,27-31
77,University of Texas—​Austin,1240-1470,27-33
78,Scripps College,1333-1490,30-33
79,Lehigh University,1280-1450,29-33
80,Macalester College,1320-1510,29-33
81,Smith College,1340-1520,30-33
82,Bryn Mawr College,1290-1510,29-33
83,Trinity College (Hartford),1300-1460,29-32
84,Denison University,1210-1380,28-31
85,San Diego State University,1110-1320,22-29
86,Kenyon College,1270-1460,29-33
87,College of the Holy Cross,1260-1430,28-32
88,Bucknell University,1255-1430,28-32
89,Emerson College,1200-1390,27-31
90,Pepperdine University,1220-1420,26-32
91,Hampton University,1040-1310,19-24
92,Oberlin College,1280-1480,29-33
93,CUNY--Hunter,1090-1260,--
94,Occidental College,1300-1480,28-32
95,Connecticut College,1310-1450,30-33
96,College of William and Mary,1320-1510,30-34
97,Mount Holyoke College,1270-1490,27-32
98,Berea College,1030-1213,22-27
99,Pratt Institute,1100-1320,26-30
100,Soka University of America,1180-1410,27-30
101,California State University--Los Angeles,890-1080,15-20
102,California State University--Long Beach,1040-1250,20-26
103,Reed College,1325-1520,30-34
104,Binghamton University—​SUNY,1310-1440,28-32
105,Dickinson College,1240-1410,28-32
106,University of Tulsa,1180-1410,25-32
107,George Washington University,1280-1470,29-33
108,University of California—​Davis,1150-1410,25-31
109,Stevens Institute of Technology,1330-1480,30-33
110,St. Lawrence University,1160-1350,24-30
111,Union College (Schenectady NY),1220-1420,27-32
